timestamp,obstacle_count,iteration,model,start_pos,goal_pos,success,collision,timeout,steps,final_distance,duration_seconds,obstacle_positions
2025-11-03T20:49:14.196733,1,6,Pure Neural,"[3.0, -3.0, 1.0]","[0.33446262612703137, -2.0187181904616165, 1.0]",False,False,True,5000,0.33910307050246735,58.201839208602905,"[{'id': 'test_obs_0', 'shape': 'box', 'pos': [2.5113950646838687, -0.8777818891525787, 1.0], 'size': [0.0655129099527443, 0.11896777068182768, 1.0], 'color': [0.225613319356863, 0.35981189357808496, 0.5743192931219147, 1.0]}]"
2025-11-03T20:49:36.800023,1,6,Neurosymbolic,"[3.0, -3.0, 1.0]","[0.33446262612703137, -2.0187181904616165, 1.0]",True,False,False,1987,0.09779706559518815,22.603147745132446,"[{'id': 'test_obs_0', 'shape': 'box', 'pos': [2.5113950646838687, -0.8777818891525787, 1.0], 'size': [0.0655129099527443, 0.11896777068182768, 1.0], 'color': [0.225613319356863, 0.35981189357808496, 0.5743192931219147, 1.0]}]"
2025-11-03T20:50:33.847157,1,7,Pure Neural,"[3.0, -3.0, 1.0]","[-1.7794978701664004, 1.7133991946561027, 1.0]",False,False,True,5000,0.26046074249409235,57.04667401313782,"[{'id': 'test_obs_0', 'shape': 'cylinder', 'pos': [-2.983217690749262, 2.520825084769718, 1.0], 'size': [0.08654432955475753, 1.0], 'color': [0.23708315854744166, 0.24981697696326305, 0.27199278719246645, 1.0]}]"
2025-11-03T20:50:49.469559,1,7,Neurosymbolic,"[3.0, -3.0, 1.0]","[-1.7794978701664004, 1.7133991946561027, 1.0]",True,False,False,1381,0.09894730693894024,15.62229299545288,"[{'id': 'test_obs_0', 'shape': 'cylinder', 'pos': [-2.983217690749262, 2.520825084769718, 1.0], 'size': [0.08654432955475753, 1.0], 'color': [0.23708315854744166, 0.24981697696326305, 0.27199278719246645, 1.0]}]"
2025-11-03T20:51:44.991191,1,8,Pure Neural,"[3.0, 3.0, 1.0]","[-0.09986781446004933, -1.77657228915101, 1.0]",False,False,True,5000,0.3071059199765267,55.52126407623291,"[{'id': 'test_obs_0', 'shape': 'box', 'pos': [-2.7290621192725717, 1.0855739906750086, 1.0], 'size': [0.09030403407748436, 0.086244609901377, 1.0], 'color': [0.3235847122147109, 0.12876448896374823, 0.32156431269938934, 1.0]}]"
2025-11-03T20:52:06.514863,1,8,Neurosymbolic,"[3.0, 3.0, 1.0]","[-0.09986781446004933, -1.77657228915101, 1.0]",True,False,False,1887,0.09786032977547084,21.523556232452393,"[{'id': 'test_obs_0', 'shape': 'box', 'pos': [-2.7290621192725717, 1.0855739906750086, 1.0], 'size': [0.09030403407748436, 0.086244609901377, 1.0], 'color': [0.3235847122147109, 0.12876448896374823, 0.32156431269938934, 1.0]}]"
2025-11-03T20:52:12.057391,1,9,Pure Neural,"[-3.0, -3.0, 1.0]","[0.841586660123613, -2.308383657225079, 1.0]",True,False,False,485,0.09635072707939824,5.542251110076904,"[{'id': 'test_obs_0', 'shape': 'cylinder', 'pos': [2.8690835290891075, -1.1888212879667486, 1.0], 'size': [0.07146749422332498, 1.0], 'color': [0.22904425033139386, 0.4197767915020866, 0.5538050592238954, 1.0]}]"
2025-11-03T20:52:24.352732,1,9,Neurosymbolic,"[-3.0, -3.0, 1.0]","[0.841586660123613, -2.308383657225079, 1.0]",True,False,False,1062,0.09757627007723797,12.295259237289429,"[{'id': 'test_obs_0', 'shape': 'cylinder', 'pos': [2.8690835290891075, -1.1888212879667486, 1.0], 'size': [0.07146749422332498, 1.0], 'color': [0.22904425033139386, 0.4197767915020866, 0.5538050592238954, 1.0]}]"
2025-11-03T20:52:39.603475,1,10,Pure Neural,"[-3.0, 3.0, 1.0]","[-2.15955035539055, -0.9722491607683548, 1.0]",True,False,False,1324,0.09481485121397688,15.25037431716919,"[{'id': 'test_obs_0', 'shape': 'cylinder', 'pos': [-3.0765808826272885, -2.862403754098054, 1.0], 'size': [0.11310926557598798, 1.0], 'color': [0.6435152687984143, 0.4566913694967415, 0.5754673162952321, 1.0]}]"
2025-11-03T20:52:53.777409,1,10,Neurosymbolic,"[-3.0, 3.0, 1.0]","[-2.15955035539055, -0.9722491607683548, 1.0]",True,False,False,1146,0.09836826598053135,14.173810005187988,"[{'id': 'test_obs_0', 'shape': 'cylinder', 'pos': [-3.0765808826272885, -2.862403754098054, 1.0], 'size': [0.11310926557598798, 1.0], 'color': [0.6435152687984143, 0.4566913694967415, 0.5754673162952321, 1.0]}]"
2025-11-03T20:53:57.048032,2,1,Pure Neural,"[3.0, -3.0, 1.0]","[-1.088726086010144, 1.705281671359316, 1.0]",False,False,True,5000,0.2894222817860265,63.27004098892212,"[{'id': 'test_obs_0', 'shape': 'box', 'pos': [-0.9998894156561672, -0.888245349279839, 1.0], 'size': [0.10000402412761158, 0.11440539416356417, 1.0], 'color': [0.5220285604417263, 0.49249212772749174, 0.46049384477935373, 1.0]}, {'id': 'test_obs_1', 'shape': 'cylinder', 'pos': [-3.2492233341333594, 0.598127264056929, 1.0], 'size': [0.08262313645787984, 1.0], 'color': [0.6844662747111955, 0.4213028255731499, 0.522173256712957, 1.0]}]"
2025-11-03T20:54:27.755396,2,1,Neurosymbolic,"[3.0, -3.0, 1.0]","[-1.088726086010144, 1.705281671359316, 1.0]",True,False,False,2450,0.0977299360939749,30.707231044769287,"[{'id': 'test_obs_0', 'shape': 'box', 'pos': [-0.9998894156561672, -0.888245349279839, 1.0], 'size': [0.10000402412761158, 0.11440539416356417, 1.0], 'color': [0.5220285604417263, 0.49249212772749174, 0.46049384477935373, 1.0]}, {'id': 'test_obs_1', 'shape': 'cylinder', 'pos': [-3.2492233341333594, 0.598127264056929, 1.0], 'size': [0.08262313645787984, 1.0], 'color': [0.6844662747111955, 0.4213028255731499, 0.522173256712957, 1.0]}]"
