timestamp,obstacle_count,iteration,model,start_pos,goal_pos,success,collision,timeout,steps,final_distance,duration_seconds,error,obstacle_positions
2025-11-03T20:28:31.151993,2,1,Neurosymbolic,"[3.0, -3.0, 1.0]","[0.040988146277036286, -2.9148219964793447, 1.0]",False,False,False,0,999.0,0,`launch_passive` requires that the Python script be run under `mjpython` on macOS,"[{'id': 'test_obs_0', 'shape': 'cylinder', 'pos': [-3.232785091820604, -2.7993896849808886, 1.0], 'size': [0.11369301473178457, 1.0], 'color': [0.3892062743563768, 0.706696868733752, 0.8174205335186411, 1.0]}, {'id': 'test_obs_1', 'shape': 'cylinder', 'pos': [1.4486706997125505, 3.30463456447706, 1.0], 'size': [0.050505136895984355, 1.0], 'color': [0.7762544368068888, 0.4954209822443765, 0.4667888761084308, 1.0]}]"
2025-11-03T20:28:31.193356,2,2,Pure Neural,"[3.0, 3.0, 1.0]","[-0.06601675234736515, 1.7876392643445538, 1.0]",False,False,False,0,999.0,0,`launch_passive` requires that the Python script be run under `mjpython` on macOS,"[{'id': 'test_obs_0', 'shape': 'box', 'pos': [-3.0730410718041052, -3.2186073437680456, 1.0], 'size': [0.09418397642907693, 0.11717222216212296, 1.0], 'color': [0.3082284371163653, 0.4959990243860498, 0.2266788214651707, 1.0]}, {'id': 'test_obs_1', 'shape': 'box', 'pos': [-2.873332414661125, -0.9531726573059264, 1.0], 'size': [0.07647122218928556, 0.09642535566986164, 1.0], 'color': [0.2952268724885264, 0.4191680123525935, 0.17224168997756062, 1.0]}]"
2025-11-03T20:28:31.234725,2,2,Neurosymbolic,"[3.0, 3.0, 1.0]","[-0.06601675234736515, 1.7876392643445538, 1.0]",False,False,False,0,999.0,0,`launch_passive` requires that the Python script be run under `mjpython` on macOS,"[{'id': 'test_obs_0', 'shape': 'box', 'pos': [-3.0730410718041052, -3.2186073437680456, 1.0], 'size': [0.09418397642907693, 0.11717222216212296, 1.0], 'color': [0.3082284371163653, 0.4959990243860498, 0.2266788214651707, 1.0]}, {'id': 'test_obs_1', 'shape': 'box', 'pos': [-2.873332414661125, -0.9531726573059264, 1.0], 'size': [0.07647122218928556, 0.09642535566986164, 1.0], 'color': [0.2952268724885264, 0.4191680123525935, 0.17224168997756062, 1.0]}]"
2025-11-03T20:28:31.278431,2,3,Pure Neural,"[-3.0, 3.0, 1.0]","[-2.7761165552322784, 0.1960275997374339, 1.0]",False,False,False,0,999.0,0,`launch_passive` requires that the Python script be run under `mjpython` on macOS,"[{'id': 'test_obs_0', 'shape': 'cylinder', 'pos': [-3.243553016780853, -2.59333049407331, 1.0], 'size': [0.09338495568149983, 1.0], 'color': [0.6234275056491009, 0.23550399242648032, 0.19113091414730318, 1.0]}, {'id': 'test_obs_1', 'shape': 'cylinder', 'pos': [1.0504028409344441, 1.3321887322069133, 1.0], 'size': [0.08134487430327535, 1.0], 'color': [0.8993228425805346, 0.8194594242735457, 0.32490122121040016, 1.0]}]"
2025-11-03T20:28:31.320121,2,3,Neurosymbolic,"[-3.0, 3.0, 1.0]","[-2.7761165552322784, 0.1960275997374339, 1.0]",False,False,False,0,999.0,0,`launch_passive` requires that the Python script be run under `mjpython` on macOS,"[{'id': 'test_obs_0', 'shape': 'cylinder', 'pos': [-3.243553016780853, -2.59333049407331, 1.0], 'size': [0.09338495568149983, 1.0], 'color': [0.6234275056491009, 0.23550399242648032, 0.19113091414730318, 1.0]}, {'id': 'test_obs_1', 'shape': 'cylinder', 'pos': [1.0504028409344441, 1.3321887322069133, 1.0], 'size': [0.08134487430327535, 1.0], 'color': [0.8993228425805346, 0.8194594242735457, 0.32490122121040016, 1.0]}]"
2025-11-03T20:28:31.361501,2,4,Pure Neural,"[-3.0, 3.0, 1.0]","[-0.3773560154166029, 1.557159810755671, 1.0]",False,False,False,0,999.0,0,`launch_passive` requires that the Python script be run under `mjpython` on macOS,"[{'id': 'test_obs_0', 'shape': 'cylinder', 'pos': [-2.956230109407194, -1.1367109793417904, 1.0], 'size': [0.06681362266103548, 1.0], 'color': [0.6159882369569717, 0.6601324730172891, 0.823816150232911, 1.0]}, {'id': 'test_obs_1', 'shape': 'box', 'pos': [3.2304636321990463, 3.3493630807499306, 1.0], 'size': [0.0579608400109587, 0.10237629297897319, 1.0], 'color': [0.81040172347883, 0.7655378336282657, 0.6969635430216797, 1.0]}]"
2025-11-03T20:28:31.402010,2,4,Neurosymbolic,"[-3.0, 3.0, 1.0]","[-0.3773560154166029, 1.557159810755671, 1.0]",False,False,False,0,999.0,0,`launch_passive` requires that the Python script be run under `mjpython` on macOS,"[{'id': 'test_obs_0', 'shape': 'cylinder', 'pos': [-2.956230109407194, -1.1367109793417904, 1.0], 'size': [0.06681362266103548, 1.0], 'color': [0.6159882369569717, 0.6601324730172891, 0.823816150232911, 1.0]}, {'id': 'test_obs_1', 'shape': 'box', 'pos': [3.2304636321990463, 3.3493630807499306, 1.0], 'size': [0.0579608400109587, 0.10237629297897319, 1.0], 'color': [0.81040172347883, 0.7655378336282657, 0.6969635430216797, 1.0]}]"
2025-11-03T20:28:31.447784,2,5,Pure Neural,"[3.0, -3.0, 1.0]","[0.1831274411936228, -0.03472255993375395, 1.0]",False,False,False,0,999.0,0,`launch_passive` requires that the Python script be run under `mjpython` on macOS,"[{'id': 'test_obs_0', 'shape': 'cylinder', 'pos': [-3.064757909623733, -1.494663582062054, 1.0], 'size': [0.06114480118234465, 1.0], 'color': [0.8492923726313538, 0.4433485047432184, 0.8679504208781673, 1.0]}, {'id': 'test_obs_1', 'shape': 'cylinder', 'pos': [-0.6425589996697713, 2.859950953757308, 1.0], 'size': [0.06848446362958352, 1.0], 'color': [0.3854933461147567, 0.7398294391210498, 0.7035941179991524, 1.0]}]"
2025-11-03T20:28:31.491842,2,5,Neurosymbolic,"[3.0, -3.0, 1.0]","[0.1831274411936228, -0.03472255993375395, 1.0]",False,False,False,0,999.0,0,`launch_passive` requires that the Python script be run under `mjpython` on macOS,"[{'id': 'test_obs_0', 'shape': 'cylinder', 'pos': [-3.064757909623733, -1.494663582062054, 1.0], 'size': [0.06114480118234465, 1.0], 'color': [0.8492923726313538, 0.4433485047432184, 0.8679504208781673, 1.0]}, {'id': 'test_obs_1', 'shape': 'cylinder', 'pos': [-0.6425589996697713, 2.859950953757308, 1.0], 'size': [0.06848446362958352, 1.0], 'color': [0.3854933461147567, 0.7398294391210498, 0.7035941179991524, 1.0]}]"
2025-11-03T20:28:31.532727,2,6,Pure Neural,"[3.0, -3.0, 1.0]","[1.0021232800749003, -2.010842155266958, 1.0]",False,False,False,0,999.0,0,`launch_passive` requires that the Python script be run under `mjpython` on macOS,"[{'id': 'test_obs_0', 'shape': 'box', 'pos': [-3.2498228934390636, 2.7488972215247616, 1.0], 'size': [0.08410118771923132, 0.10431321109228041, 1.0], 'color': [0.8837611543279608, 0.29618334584750017, 0.6333719883386233, 1.0]}, {'id': 'test_obs_1', 'shape': 'cylinder', 'pos': [2.821925905041633, 0.885209485654457, 1.0], 'size': [0.059182870244274974, 1.0], 'color': [0.7040846822624157, 0.273091614725258, 0.520638307827589, 1.0]}]"
