map_seed,level,model,goal_reached,number_of_steps,collision,out_of_bound
94,10,Pure Neural,False,3105,True,False
94,10,Neurosymbolic,True,5770,False,False
94,10,AR_PPO,True,3913,False,False
95,10,Pure Neural,False,5000,False,False
95,10,Neurosymbolic,True,1099,False,False
95,10,AR_PPO,False,5000,False,False
96,10,Pure Neural,True,602,False,False
96,10,Neurosymbolic,True,686,False,False
96,10,AR_PPO,True,445,False,False
97,10,Pure Neural,False,0,True,False
97,10,Neurosymbolic,False,0,True,False
97,10,AR_PPO,False,0,True,False
98,10,Pure Neural,True,345,False,False
98,10,Neurosymbolic,True,879,False,False
98,10,AR_PPO,True,361,False,False
99,10,Pure Neural,False,5000,False,False
99,10,Neurosymbolic,True,1096,False,False
99,10,AR_PPO,True,4536,False,False
100,10,Pure Neural,False,5000,False,False
100,10,Neurosymbolic,True,2382,False,False
100,10,AR_PPO,True,575,False,False
101,11,Pure Neural,False,2442,True,False
101,11,Neurosymbolic,True,3780,False,False
101,11,AR_PPO,False,5000,False,False
102,11,Pure Neural,False,5000,False,False
102,11,Neurosymbolic,True,1678,False,False
102,11,AR_PPO,False,5000,False,False
103,11,Pure Neural,True,1403,False,False
103,11,Neurosymbolic,True,4376,False,False
103,11,AR_PPO,True,948,False,False
104,11,Pure Neural,False,5000,False,False
104,11,Neurosymbolic,True,1883,False,False
104,11,AR_PPO,True,377,False,False
105,11,Pure Neural,False,5000,False,False
105,11,Neurosymbolic,True,4710,False,False
105,11,AR_PPO,False,5000,False,False
106,11,Pure Neural,False,5000,False,False
106,11,Neurosymbolic,True,1336,False,False
106,11,AR_PPO,True,421,False,False
107,11,Pure Neural,True,474,False,False
107,11,Neurosymbolic,True,976,False,False
107,11,AR_PPO,False,5000,False,False
108,11,Pure Neural,True,5965,False,False
108,11,Neurosymbolic,True,630,False,False
108,11,AR_PPO,True,431,False,False
109,11,Pure Neural,True,1403,False,False
109,11,Neurosymbolic,True,1749,False,False
109,11,AR_PPO,False,1135,True,False
110,11,Pure Neural,True,1583,False,False
110,11,Neurosymbolic,True,3595,False,False
110,11,AR_PPO,False,5000,False,False
111,12,Pure Neural,True,1180,False,False
111,12,Neurosymbolic,True,2012,False,False
111,12,AR_PPO,False,1111,True,False
112,12,Pure Neural,True,19846,False,False
112,12,Neurosymbolic,True,1056,False,False
112,12,AR_PPO,False,5000,False,False
113,12,Pure Neural,False,5000,False,False
113,12,Neurosymbolic,True,792,False,False
113,12,AR_PPO,True,713,False,False
114,12,Pure Neural,False,5000,False,False
114,12,Neurosymbolic,True,9931,False,False
114,12,AR_PPO,False,1314,True,False
115,12,Pure Neural,False,5000,False,False
115,12,Neurosymbolic,False,6868,True,False
115,12,AR_PPO,False,5000,False,False
116,12,Pure Neural,False,5000,False,False
116,12,Neurosymbolic,True,1590,False,False
116,12,AR_PPO,True,892,False,False
117,12,Pure Neural,False,3,True,False
117,12,Neurosymbolic,False,3746,True,False
117,12,AR_PPO,False,5000,False,False
118,12,Pure Neural,False,4720,True,False
118,12,Neurosymbolic,True,1392,False,False
118,12,AR_PPO,False,528,True,False
119,12,Pure Neural,True,855,False,False
119,12,Neurosymbolic,True,1245,False,False
119,12,AR_PPO,False,5000,False,False
120,12,Pure Neural,True,2152,False,False
120,12,Neurosymbolic,True,1314,False,False
120,12,AR_PPO,False,5000,False,False
121,13,Pure Neural,False,5000,False,False
121,13,Neurosymbolic,True,2144,False,False
121,13,AR_PPO,False,5000,False,False
122,13,Pure Neural,False,5000,False,False
